#{"t_start": 1738641857.8981974, "env_id": "None"}
r,l,t
-321.495159,100,7.99101
-326.929641,100,20.518538
-314.434487,100,26.815446
-314.923675,100,40.248688
-317.895417,100,45.465714
-314.368561,100,53.648539
-323.261675,100,62.76209
-315.744742,100,68.732848
-314.548242,100,74.5205
-315.160387,100,86.90893
-316.458333,100,92.869491
-313.594908,100,100.901427
-316.710557,100,114.476064
-320.252044,100,127.296732
-314.25586,100,134.223041
-322.664327,100,141.186423
-309.750852,100,148.144129
-311.166224,100,157.825157
-311.534901,100,166.120443
-315.894075,100,173.97185
-317.691311,100,182.102388
-333.139084,100,187.845856
-315.955891,100,194.025413
-312.685176,100,207.145808
-316.244382,100,213.965929
-309.449985,100,220.886306
-319.257212,100,226.424471
-311.498983,100,241.312688
-326.818024,100,246.875109
-313.976749,100,252.815145
-314.287261,100,258.741287
-314.466175,100,264.486048
-314.658737,100,270.456964
-311.801865,100,277.028009
-322.578219,100,282.500443
-318.835208,100,287.685759
-317.151969,100,296.217718
-319.588424,100,302.309288
-311.744913,100,308.159456
-320.004769,100,314.543257
-321.455408,100,328.176091
-311.224839,100,335.056794
-316.155729,100,347.579726
-310.853831,100,356.184586
-315.935278,100,369.152914
-322.80822,100,377.050886
-312.393306,100,384.516737
-319.848559,100,391.214536
-313.107885,100,404.527819
-310.804683,100,416.214415
-321.788701,100,421.432625
-316.310459,100,426.908669
-311.867978,100,433.165879
-314.898509,100,439.56047
-315.378776,100,446.493632
-313.612566,100,452.385985
-318.935011,100,457.790422
-314.364107,100,470.620132
-317.200547,100,482.224428
-312.175928,100,488.78202
-323.799614,100,496.968279
-319.172566,100,504.487595
-310.359011,100,518.062515
-313.788483,100,524.312706
-315.269105,100,531.048241
-317.444916,100,538.755248
-315.785818,100,544.152987
-231.539503,74,549.101366
-316.023907,100,554.370848
-317.538865,100,560.076872
-316.40016,100,565.481456
-317.125586,100,571.300757
-314.274396,100,577.309702
-321.36343,100,582.476884
-316.024755,100,594.192286
-314.689869,100,607.588218
-319.996565,100,613.951118
-321.796444,100,619.152893
-315.219713,100,624.881678
-310.29855,100,632.514205
-310.44583,100,640.04291
-312.02365,100,646.920424
-314.038137,100,658.42204
-325.897346,100,670.570224
-315.191688,100,683.218669
-317.882326,100,695.619571
-311.838263,100,703.337131
-310.559668,100,710.731413
-309.768579,100,720.320075
-315.276733,100,725.654916
-316.441034,100,731.21377
-316.320921,100,736.86666
-312.768805,100,742.453522
-313.632316,100,749.163266
-312.057896,100,756.66053
-311.675076,100,764.352622
-312.86148,100,777.518262
-313.050036,100,785.922499
-317.237971,100,798.21902
-314.101043,100,804.169257
-191.903183,61,846.755815
-310.128869,100,862.369155
-315.948696,100,868.848543
-140.975187,45,877.307231
-317.806121,100,889.613867
-315.632849,100,902.686315
-314.781506,100,916.269401
-315.456967,100,922.134494
-312.27012,100,936.772119
-312.414335,100,943.24521
-129.998343,42,946.560618
-311.762342,100,955.080105
-318.022974,100,961.377769
-310.867388,100,968.513967
-315.990171,100,980.941972
-311.448709,100,988.048566
-310.650341,100,996.71987
-313.064653,100,1002.586043
-314.037648,100,1008.559987
-315.623847,100,1017.162944
-310.849875,100,1024.204923
-317.651139,100,1037.533587
-315.153568,100,1050.165989
-314.079008,100,1055.95991
-314.021995,100,1063.461562
-312.666712,100,1070.34453
-322.632374,100,1077.935148
-319.103546,100,1083.439541
-311.524581,100,1097.257656
-313.130413,100,1110.628321
-312.372103,100,1116.424007
-313.132673,100,1130.164827
-312.943129,100,1144.32434
-324.928508,100,1156.541846
-314.405251,100,1170.030687
-316.710346,100,1182.428082
-314.855318,100,1196.466543
-314.472309,100,1202.786389
-312.545261,100,1209.39354
-321.123482,100,1214.89528
-320.309762,100,1220.318684
-312.109221,100,1227.201253
-271.289065,86,1233.142174
-321.090377,100,1245.441794
-318.532624,100,1258.26288
-316.12099,100,1270.820177
-157.629701,50,1277.725679
-312.219929,100,1285.874082
-311.344429,100,1299.764816
-311.678518,100,1314.061019
-315.12394,100,1320.93931
-311.824531,100,1327.945906
-316.975287,100,1333.347098
-318.975278,100,1341.522109
-310.118377,100,1348.321331
-315.661573,100,1354.40684
-315.933564,100,1359.871123
-314.841459,100,1372.581066
-323.500071,100,1379.262353
-310.968232,100,1386.551671
-314.521272,100,1392.955258
-312.6905,100,1400.95359
-316.157765,100,1407.155096
-316.03478,100,1412.589311
-326.766792,100,1417.741132
-312.759752,100,1423.900062
-250.778994,81,1433.061
-312.970342,100,1447.512963
-315.752228,100,1453.555693
-314.341763,100,1459.349954
-312.842232,100,1465.344381
-316.205549,100,1472.898071
-309.470163,100,1479.983746
-319.523499,100,1485.45233
-313.792194,100,1493.600532
-316.708444,100,1500.189852
-312.428205,100,1506.569369
-320.906149,100,1513.456843
-315.194163,100,1518.901142
-310.682022,100,1525.768104
-313.877579,100,1532.504498
-224.63811,71,1541.952161
-312.177619,100,1548.220838
-311.889438,100,1557.867908
-313.933758,100,1566.45906
-310.193224,100,1574.856562
-312.89468,100,1581.512532
-315.307078,100,1589.321616
-314.923209,100,1595.321645
-314.109925,100,1601.695257
-314.598985,100,1607.238403
-313.703476,100,1615.854505
-312.177349,100,1623.0843
-312.66658,100,1629.157148
-316.144109,100,1634.586623
-314.838844,100,1640.630739
-316.93438,100,1646.566709
-312.852504,100,1652.726622
-314.746299,100,1658.30242
-237.628289,76,1662.935638
-312.493853,100,1669.004111
-319.217307,100,1677.384316
-314.927557,100,1684.047051
-317.082002,100,1725.434876
-318.685544,100,1738.187836
-321.764136,100,1750.471854
-312.300498,100,1756.588387
-313.319484,100,1771.317365
-313.880042,100,1777.196662
-321.053684,100,1782.78488
-312.437472,100,1791.002632
-315.87014,100,1799.129754
-314.193011,100,1808.013253
-314.78866,100,1813.219835
-312.964526,100,1818.768181
-316.319958,100,1830.921287
-310.041776,100,1838.244988
-323.524102,100,1850.487874
-316.114459,100,1858.540874
-317.098552,100,1871.00867
-314.028763,100,1877.762499
-317.29097,100,1890.170061
-313.070604,100,1896.756131
-317.43134,100,1909.561704
-310.860717,100,1919.775205
-313.816304,100,1925.932733
-316.418832,100,1931.231478
-312.393749,100,1938.119685
-316.42582,100,1952.574052
-318.775166,100,1964.832927
-317.62514,100,1971.922837
-317.815042,100,1979.039243
-317.008833,100,1984.343949
-313.096281,100,1990.803196
-311.75336,100,1997.058334
-317.130718,100,2003.247214
-317.295252,100,2008.702848
-315.223859,100,2014.434495
-315.04333,100,2026.836977
-311.242365,100,2041.08253
-123.193395,39,2044.43527
-310.988131,100,2051.40754
-313.128819,100,2057.77919
-309.612952,100,2064.698244
-312.761844,100,2071.084025
-320.157998,100,2076.410315
-311.077549,100,2083.329052
-311.049373,100,2090.509877
-310.161462,100,2100.486349
-311.526111,100,2111.957006
-316.052616,100,2125.040386
-311.350793,100,2133.223514
-313.958847,100,2138.498513
-315.972915,100,2144.246133
-318.323974,100,2150.279863
-325.373924,100,2158.817874
-316.70823,100,2164.571246
-313.29692,100,2172.290431
-318.187709,100,2177.677353
-313.168864,100,2184.528495
-315.713354,100,2189.963943
-316.687309,100,2195.493756
-313.442914,100,2201.680902
-320.882657,100,2207.789187
-312.27659,100,2217.629281
-93.686252,30,2219.946201
-314.18737,100,2232.457495
-318.250579,100,2244.779777
-314.763023,100,2251.407175
-315.675137,100,2262.517946
-320.756622,100,2270.627832
-317.688609,100,2283.742731
-318.028964,100,2290.176227
-320.187351,100,2295.585789
-320.456846,100,2301.039366
-325.940492,100,2311.944591
-320.819595,100,2324.11123
-313.985632,100,2331.996768
-318.989043,100,2339.034482
-319.582131,100,2344.552624
-323.044444,100,2356.862586
-313.991144,100,2362.638651
-318.361779,100,2368.140049
-322.975742,100,2373.280643
-318.396705,100,2379.256159
-318.322241,100,2385.318113
-319.368384,100,2391.922803
-321.405458,100,2404.69304
-316.807745,100,2412.655264
-318.903819,100,2418.02866
-313.944956,100,2424.963013
-311.378895,100,2440.222215
-313.947769,100,2446.312875
-309.669792,100,2456.336317
-323.254353,100,2462.49782
-316.931871,100,2467.963659
-318.11111,100,2473.587486
-314.093476,100,2480.409559
-311.128269,100,2486.530263
-316.958999,100,2493.495257
-314.457101,100,2499.149743
-319.809892,100,2504.281651
-324.569607,100,2510.298205
-316.825245,100,2518.404088
-312.27211,100,2568.929953
-317.558524,100,2578.669827
-314.669453,100,2588.192198
-321.328784,100,2600.588636
-328.03262,100,2607.463525
-321.030726,100,2613.416924
-315.505603,100,2619.649314
-321.120424,100,2626.971004
-324.661847,100,2634.910329
-312.402663,100,2641.871367
