#{"t_start": 1738564177.2584584, "env_id": "None"}
r,l,t
-320.21263,100,9.822255
-335.342727,100,15.560758
-326.79495,100,20.635676
-319.670063,100,32.912423
-318.768298,100,45.524051
-319.99387,100,50.871302
-325.975499,100,56.118451
-333.090725,100,68.119857
-325.165813,100,80.360073
-323.325922,100,85.648839
-324.822567,100,90.93707
-335.555959,100,97.816905
-332.38281,100,103.632329
-334.944104,100,115.471632
-334.209852,100,121.076095
-338.147072,100,126.349835
-328.505183,100,138.42965
-323.908912,100,143.580398
-326.770952,100,154.49022
-329.795807,100,161.732839
-332.874049,100,169.332921
-330.902303,100,174.499337
-323.394159,100,181.37988
-332.564779,100,188.586923
-331.458111,100,193.614149
-327.044537,100,205.788271
-324.499155,100,218.415907
-330.087282,100,225.237419
-330.010698,100,230.742567
-332.190389,100,236.177129
-332.983932,100,244.894954
-328.926224,100,250.037129
-341.849156,100,255.00176
-335.513935,100,260.251961
-322.151175,100,266.225999
-323.045007,100,279.154747
-336.738652,100,284.321327
-324.427538,100,290.882756
-326.498514,100,297.917402
-322.630487,100,302.955592
-328.670579,100,309.727478
-334.717478,100,314.833132
-323.939087,100,319.698551
-338.235746,100,324.644348
-321.834493,100,329.574846
-320.260736,100,335.129317
-324.808352,100,341.679398
-335.527538,100,353.91466
-325.287135,100,359.43485
-314.32627,100,365.171547
-334.255757,100,370.475409
-322.688982,100,375.51279
-322.810345,100,380.787595
-324.333763,100,392.926353
-334.997002,100,401.377429
-323.296281,100,406.722337
-320.024429,100,412.068905
-318.891645,100,417.819179
-323.832249,100,423.688043
-327.805904,100,428.820158
-345.343028,100,433.99004
-332.74747,100,440.675581
-326.388948,100,445.823641
-326.886837,100,458.328841
-318.067958,100,464.381819
-319.108546,100,476.376166
-324.44489,100,489.137191
-324.316183,100,494.936789
-324.987576,100,503.075839
-330.835619,100,514.914464
-326.113439,100,521.962366
-324.932176,100,527.014822
-330.576053,100,533.700125
-323.552165,100,538.921907
-325.534558,100,550.870962
-322.671892,100,555.978581
-322.112653,100,561.112542
-329.743285,100,566.294895
-329.15814,100,571.397982
-320.207937,100,578.59992
-319.853952,100,584.173567
-326.403746,100,590.770133
-331.864775,100,596.163116
-323.743058,100,601.250724
-328.371488,100,606.651258
-321.200139,100,611.67557
-324.305757,100,616.938584
-331.607784,100,622.254802
-327.66103,100,628.076732
-332.96547,100,633.591581
-323.596944,100,640.979366
-334.058119,100,646.103806
-323.968517,100,651.28271
-323.837546,100,656.318771
-317.845874,100,663.052897
-327.09763,100,668.125399
-332.464696,100,680.171067
-322.321512,100,692.185779
-316.214477,100,699.934162
-325.241225,100,712.270305
-323.49934,100,757.34958
-330.980981,100,763.180141
-321.902542,100,772.20757
-325.913222,100,777.350591
-326.104235,100,783.49153
-324.726757,100,795.707641
-321.052788,100,800.955112
-335.090089,100,806.052553
-325.060071,100,811.117527
-329.298057,100,823.207859
-329.819929,100,828.205314
-330.547095,100,833.802928
-319.309139,100,838.926937
-331.512788,100,844.042504
-336.828139,100,856.226599
-328.576278,100,862.317062
-316.82955,100,867.661471
-323.201543,100,880.241802
-324.27764,100,888.271729
-335.682246,100,895.095105
-322.207765,100,900.127931
-319.042424,100,905.111827
-325.364277,100,912.012589
