#{"t_start": 1738640811.392041, "env_id": "None"}
r,l,t
-325.088808,100,7.371785
-314.72756,100,12.427534
-314.342328,100,17.812792
-319.378947,100,22.995557
-311.474558,100,28.844549
-315.233224,100,33.40656
-315.969102,100,38.176556
-316.679985,100,42.758499
-312.030074,100,49.279995
-319.292745,100,54.024801
-318.414455,100,59.227485
-321.533881,100,64.529068
-315.960093,100,69.845725
-320.989123,100,74.629277
-315.909544,100,83.02278
-311.479322,100,89.709646
-315.524062,100,95.094638
-313.66256,100,100.895997
-317.031662,100,108.5691
-320.879775,100,115.612014
-316.291131,100,122.802807
-314.158976,100,132.944593
-321.093509,100,139.54989
-314.134373,100,146.132132
-323.494441,100,151.367271
-321.203768,100,156.531687
-319.761724,100,168.093769
-312.609846,100,180.211358
-319.023497,100,185.081172
-312.282361,99,189.960339
-319.508161,100,195.165074
-324.30532,100,202.683726
-313.166374,100,215.209543
-324.131789,100,226.578552
-318.19859,100,231.525527
-324.081119,100,236.312621
-318.096814,100,241.506003
-321.710862,100,246.306883
-319.621378,100,251.193626
-317.894785,100,256.592142
-322.736743,100,263.84954
-323.392133,100,275.194269
-317.336557,100,284.861841
-313.755949,100,289.889544
-319.909294,100,295.069168
-314.856148,100,299.983792
-326.090513,100,311.166934
-317.979318,100,317.093838
-322.349331,100,323.933741
-312.112487,100,337.581941
-313.295294,100,343.307357
-316.699018,100,348.698706
-319.267257,100,353.716274
-312.996172,100,359.296932
-316.133601,100,364.277668
-319.435972,100,369.269502
-316.893439,100,374.287282
-320.642244,100,386.713226
-314.424949,100,391.797702
-314.743975,100,396.788526
-315.313024,100,402.616951
-313.431253,100,408.252646
-310.915224,100,413.831702
-320.443396,100,418.54884
-312.94581,100,424.688553
-323.622441,100,429.57508
-319.883441,100,434.416662
-311.219404,100,445.345826
-316.291329,100,450.70943
-321.353083,100,456.038882
-315.293207,100,461.020336
-313.560333,100,466.743579
-321.63347,100,471.906153
-312.776812,100,477.577358
-313.234782,100,482.77838
-318.823198,100,487.647504
-323.148773,100,492.535197
-318.572553,100,499.093995
-318.379326,100,505.119841
-314.21782,100,510.619251
