"Relative Time (Process)","ft1 - system/gpu.0.powerWatts","ft1 - system/gpu.0.powerWatts__MIN","ft1 - system/gpu.0.powerWatts__MAX"
"15.354170393","64.066","64.066","64.066"
"30.354517526","420.573","420.573","420.573"
"45.353836852","426.254","426.254","426.254"
"60.354215033","419.479","419.479","419.479"
"75.354219712","423.818","423.818","423.818"
"90.354798632","425.196","425.196","425.196"
"105.355424273","420.956","420.956","420.956"
"120.354323487","426.629","426.629","426.629"
"135.354588174","430.897","430.897","430.897"
"150.355060604","423.519","423.519","423.519"
"165.354360204","424.832","424.832","424.832"
"180.353855869","430.188","430.188","430.188"
"195.354137548","424.884","424.884","424.884"
"210.354238134","426.106","426.106","426.106"
"225.353966785","419.81","419.81","419.81"
"240.353777359","425.793","425.793","425.793"
"255.354204898","427.832","427.832","427.832"
"270.355408753","423.357","423.357","423.357"
"285.354215856","425.312","425.312","425.312"
"300.354477804","426.066","426.066","426.066"
"315.353841745","422.942","422.942","422.942"
"330.355522485","422.858","422.858","422.858"
"345.354891409","426.911","426.911","426.911"
"360.353785936","419.524","419.524","419.524"
"375.354416718","425.129","425.129","425.129"
"390.353402657","426.059","426.059","426.059"
"405.353812581","421.619","421.619","421.619"
"420.35409919","424.213","424.213","424.213"
"435.354750887","426.681","426.681","426.681"
"450.353412975","419.16","419.16","419.16"
"465.353422344","421.427","421.427","421.427"
"480.354103253","426.496","426.496","426.496"
"495.354249686","421.061","421.061","421.061"
"510.353900774","427.779","427.779","427.779"
"525.353603753","428.412","428.412","428.412"
"540.354056192","418.394","418.394","418.394"
"555.354275302","430.634","430.634","430.634"
"570.353765433","426.271","426.271","426.271"
"585.354166903","422.952","422.952","422.952"
"600.354254515","429.431","429.431","429.431"
"615.354173896","427.41","427.41","427.41"
"630.354403074","427.099","427.099","427.099"
"645.354285851","425.155","425.155","425.155"
"660.353939716","424.036","424.036","424.036"
"675.354413283","426.641","426.641","426.641"
"690.353441419","432.416","432.416","432.416"
"705.355672413","424.266","424.266","424.266"
"720.354644292","425.66","425.66","425.66"
"735.353571048","423.675","423.675","423.675"
"750.353515033","424.049","424.049","424.049"
"765.355201222","425.827","425.827","425.827"
"780.355965722","426.301","426.301","426.301"
"795.354046507","424.6","424.6","424.6"
"810.354413922","425.869","425.869","425.869"
"825.35401886","420.834","420.834","420.834"
"840.355306112","423.82","423.82","423.82"
"855.353841946","426.514","426.514","426.514"
"870.354298218","424.251","424.251","424.251"
"885.353709518","425.651","425.651","425.651"
"900.354272438","425.833","425.833","425.833"
"915.353748741","422.242","422.242","422.242"
"930.355250401","424.536","424.536","424.536"
"945.353976702","428.213","428.213","428.213"
"960.354046427","422.55","422.55","422.55"
"975.353516651","427.558","427.558","427.558"
"990.353966675","426.373","426.373","426.373"
"1005.354097066","422.109","422.109","422.109"
"1020.35501042","424.324","424.324","424.324"
"1035.35551695","427.006","427.006","427.006"
"1050.354025771","424.204","424.204","424.204"
"1065.35370568","427.342","427.342","427.342"
"1080.354138481","426.555","426.555","426.555"
"1095.353991119","423.181","423.181","423.181"
"1110.354422544","432.415","432.415","432.415"
"1125.354320191","427.651","427.651","427.651"
"1140.35390685","422.598","422.598","422.598"
"1155.354104066","429.826","429.826","429.826"
"1170.354053528","426.534","426.534","426.534"
"1185.3540253","427.461","427.461","427.461"
"1200.354624033","429.501","429.501","429.501"
"1215.353925302","426.026","426.026","426.026"
"1230.354697483","428.358","428.358","428.358"
"1245.353418936","428.656","428.656","428.656"
"1260.354228605","425.804","425.804","425.804"
"1275.353635237","425.71","425.71","425.71"
"1290.354152073","425.355","425.355","425.355"
"1305.354290013","424.84","424.84","424.84"
"1320.354292794","425.734","425.734","425.734"
"1335.353836424","425.953","425.953","425.953"
"1350.354053003","426.019","426.019","426.019"
"1365.353814786","426.871","426.871","426.871"
"1380.354788525","408.216","408.216","408.216"
"1395.355077255","425.549","425.549","425.549"
"1410.353945059","426.576","426.576","426.576"
"1425.355516334","423.985","423.985","423.985"
"1440.354423592","426.913","426.913","426.913"
"1455.354057669","426.514","426.514","426.514"
"1470.355490928","422.858","422.858","422.858"
"1485.353743079","421.232","421.232","421.232"
"1500.354053971","426.177","426.177","426.177"
"1515.354791583","422.781","422.781","422.781"
"1530.355427994","425.565","425.565","425.565"
"1545.354137599","426.989","426.989","426.989"
"1560.355151953","423.439","423.439","423.439"
"1575.35354411","429.9","429.9","429.9"
"1590.354193985","426.904","426.904","426.904"
"1605.354727271","423.452","423.452","423.452"
"1620.353767094","420.667","420.667","420.667"
"1635.355035507","427.996","427.996","427.996"
"1650.354724249","421.942","421.942","421.942"
"1665.354308173","429.094","429.094","429.094"
"1680.354858811","427.718","427.718","427.718"
"1695.354736426","421.694","421.694","421.694"
"1710.355759009","435.467","435.467","435.467"
"1725.353480512","427.357","427.357","427.357"
"1740.353895272","426.794","426.794","426.794"
"1755.353996255","424.635","424.635","424.635"
"1770.354552792","426.704","426.704","426.704"
"1785.353839121","428.826","428.826","428.826"
"1800.353868605","430.463","430.463","430.463"
"1815.353452106","427.382","427.382","427.382"
"1830.354158661","429.432","429.432","429.432"
"1845.354538045","430.961","430.961","430.961"
"1860.353990721","422.771","422.771","422.771"
"1875.354231277","426.325","426.325","426.325"
"1890.354128433","424.324","424.324","424.324"
"1905.354472074","424.658","424.658","424.658"
"1920.353636832","425.646","425.646","425.646"
"1935.354406761","419.928","419.928","419.928"
"1950.355866395","424.079","424.079","424.079"
"1965.354827274","425.26","425.26","425.26"
"1980.354398274","423.673","423.673","423.673"
"1995.35517885","426.267","426.267","426.267"
"2010.353824302","426.156","426.156","426.156"
"2025.353991107","422.482","422.482","422.482"
"2040.354536019","429.896","429.896","429.896"
"2055.35443449","426.968","426.968","426.968"
"2070.353664685","422.644","422.644","422.644"
"2085.354684574","424.594","424.594","424.594"
"2100.354311595","427.709","427.709","427.709"
"2115.355817637","422.09","422.09","422.09"
"2130.355646434","428.29","428.29","428.29"
"2145.355379412","426.686","426.686","426.686"
"2160.353899044","424.036","424.036","424.036"
"2175.353574075","423.11","423.11","423.11"
"2190.353548988","427.516","427.516","427.516"
"2205.35464475","422.154","422.154","422.154"
"2220.355161448","429.904","429.904","429.904"
"2235.354978915","427.888","427.888","427.888"
"2250.354401342","422.251","422.251","422.251"
"2265.353939869","435.816","435.816","435.816"
"2280.355276989","427.703","427.703","427.703"
"2295.354054638","429.835","429.835","429.835"
"2310.353852742","432.56","432.56","432.56"
"2325.354107096","425.788","425.788","425.788"
"2340.354418566","427.629","427.629","427.629"
"2355.355117063","425.632","425.632","425.632"
"2370.356140038","422.974","422.974","422.974"
"2385.354362037","425.032","425.032","425.032"
