"Relative Time (Process)","pi_hanoi_300_subtasks_no_masking - system/gpu.0.powerWatts","pi_hanoi_300_subtasks_no_masking - system/gpu.0.powerWatts__MIN","pi_hanoi_300_subtasks_no_masking - system/gpu.0.powerWatts__MAX"
"15.522845472","68.546","68.546","68.546"
"30.522557442","24.566","24.566","24.566"
"45.523698669","26.494","26.494","26.494"
"60.52370112","68.05","68.05","68.05"
"75.52373912","26.31","26.31","26.31"
"90.523383349","24.564","24.564","24.564"
"105.523275199","25.278","25.278","25.278"
"120.523504623","25.865","25.865","25.865"
"135.522699913","24.717","24.717","24.717"
"150.522941909","26.615","26.615","26.615"
"165.523126806","68.378","68.378","68.378"
"180.523564661","27.044","27.044","27.044"
"195.523061758","24.905","24.905","24.905"
"210.523136841","24.107","24.107","24.107"
"225.522969288","420.685","420.685","420.685"
"240.524341495","415.49","415.49","415.49"
"255.524943617","424.799","424.799","424.799"
"270.523554744","423.859","423.859","423.859"
"285.523103891","417.292","417.292","417.292"
"300.522354593","428.593","428.593","428.593"
"315.523377074","425.842","425.842","425.842"
"330.52392858","424.738","424.738","424.738"
"345.524242645","427.757","427.757","427.757"
"360.52453056","427.606","427.606","427.606"
"375.524827862","423.01","423.01","423.01"
"390.522699757","425.754","425.754","425.754"
"405.523724982","428.355","428.355","428.355"
"420.523576073","419.811","419.811","419.811"
"435.524137389","429.365","429.365","429.365"
"450.523016963","428.839","428.839","428.839"
"465.523436001","429.032","429.032","429.032"
"480.525058581","430.237","430.237","430.237"
"495.523174965","427.582","427.582","427.582"
"510.523487485","428.154","428.154","428.154"
"525.523076131","434.645","434.645","434.645"
"540.522850435","428.691","428.691","428.691"
"555.522675673","429.664","429.664","429.664"
"570.522395297","426.135","426.135","426.135"
"585.52333596","431.07","431.07","431.07"
"600.523655949","429.732","429.732","429.732"
"615.523436294","429.421","429.421","429.421"
"630.52412128","431.998","431.998","431.998"
"645.523113273","430.587","430.587","430.587"
"660.525311734","426.866","426.866","426.866"
"675.524239112","428.864","428.864","428.864"
"690.524053273","430.447","430.447","430.447"
"705.52327395","425.125","425.125","425.125"
"720.524634254","433.511","433.511","433.511"
"735.52310109","431.346","431.346","431.346"
"750.523107746","426.734","426.734","426.734"
"765.524237411","434.664","434.664","434.664"
"780.523546209","431.956","431.956","431.956"
"795.523240712","430.876","430.876","430.876"
"810.523519534","432.397","432.397","432.397"
"825.522724276","429.185","429.185","429.185"
"840.523512347","429.869","429.869","429.869"
"855.523851167","431.392","431.392","431.392"
"870.523755424","426.057","426.057","426.057"
"885.52378755","431.144","431.144","431.144"
