#{"t_start": 1734416356.5535643, "env_id": "None"}
r,l,t
-707.442573,1000,226.510588
-695.053493,1000,247.163934
-701.444261,1000,268.295022
-706.336576,1000,289.171332
-711.066732,1000,309.981277
-882.260132,1000,574.265835
-872.762128,1000,594.711747
-922.595726,1000,615.402459
-903.768446,1000,636.037126
-890.062079,1000,656.626204
-901.752708,1000,913.682005
-934.323465,1000,934.226221
-897.340054,1000,955.202912
-938.140875,1000,975.922737
-804.825937,1000,996.433327
-813.528123,1000,1258.47283
-3832.095868,1000,1279.876396
-873.556476,1000,1300.539075
-851.67686,1000,1320.973725
-876.940282,1000,1341.812397
-886.439731,1000,1604.997469
-1668.956487,1000,1625.686463
-3481.092783,1000,1646.723335
-905.3385,1000,1666.383652
-920.607558,1000,1686.962415
-757.38314,1000,1946.669143
-747.664514,1000,1967.897103
-17360.364111,1000,1988.305569
-38554.651733,1000,2006.987536
-772.987166,1000,2027.788944
-3354.833508,1000,2293.940075
-14169.715312,1000,2314.919271
-18504.626757,1000,2336.345836
-40656.883376,1000,2357.800164
-25186.526792,1000,2378.956165
-50892.07361,1000,2642.876838
-3499.569573,1000,2663.973957
-6855.213361,1000,2684.847989
-4543.748822,1000,2705.569657
-16778.508381,1000,2726.364325
-13791.937387,1000,2988.229735
-873.196768,1000,3009.105997
-770.089781,1000,3029.967859
-3968.048157,1000,3050.775482
-22353.773074,1000,3071.848481
-28810.564675,1000,3336.538888
-38676.80896,1000,3357.507782
-28161.206648,1000,3377.54968
-10056.971434,1000,3396.155725
-5772.855117,1000,3417.242975
-866.881488,1000,3683.551172
-50638.159804,1000,3704.637027
-683.396346,1000,3725.116003
-727.356588,1000,3746.469605
-18609.92941,1000,3767.468809
-1930.418547,1000,4028.970284
-11707.544369,1000,4049.423016
-21489.135454,1000,4069.951821
-9261.434069,1000,4090.699968
-9255.470618,1000,4111.58866
-9832.069502,1000,4380.021832
-46465.568631,1000,4401.191585
-7953.554932,1000,4420.192719
-23848.264172,1000,4440.771132
-7219.096885,1000,4461.395301
-52289.767862,1000,4725.521715
-74093.025171,1000,4744.992014
-12432.219108,1000,4765.973059
-12575.35619,1000,4787.133327
-34215.944504,1000,4809.075796
-17762.289097,1000,5072.883196
-2225.653298,1000,5093.369938
-47642.683306,1000,5113.81362
-18585.39876,1000,5134.552627
-35151.119743,1000,5155.492472
-31580.232761,1000,5416.930345
-30276.300949,1000,5437.891528
-4250.225119,1000,5459.005264
-19310.281866,1000,5480.414639
-27435.22457,1000,5500.986067
-21621.210992,1000,5761.936778
-713.931071,1000,5782.976275
-27962.057913,1000,5803.862144
-80935.426267,1000,5824.720784
-22735.416439,1000,5846.147754
-5580.999911,1000,6112.69018
-7218.177054,1000,6133.788769
-8176.547182,1000,6154.855818
-2633.887231,1000,6176.699342
-22613.458224,1000,6197.028119
-5136.440655,1000,6459.235715
-12681.944865,1000,6479.666648
-6036.241018,1000,6500.952944
-7989.890345,1000,6521.987174
-20000.450526,1000,6543.143503
-12167.911263,1000,6804.801393
-80106.167124,1000,6826.543677
-52731.485396,1000,6847.26899
-26381.305969,1000,6868.453098
-128925.425224,1000,6889.764822
-10356.008341,1000,7154.59933
-6811.279093,1000,7175.864192
-145347.485086,1000,7195.550448
-41474.245893,1000,7216.771555
-24172.325296,1000,7237.763049
-72971.024724,1000,7492.997455
-39235.983418,1000,7510.759041
-11972.018972,1000,7531.833579
-172718.208092,1000,7552.106138
-24483.570329,1000,7572.509264
-39496.397531,1000,7830.146306
-1792.529606,1000,7851.194061
-70172.368006,1000,7872.468407
-869.985006,1000,7892.483052
-137089.717407,1000,7913.958798
-51752.775419,1000,8177.681024
-9085.889486,1000,8200.508892
-44329.469325,1000,8218.539626
-59192.245826,1000,8239.743073
-48221.987782,1000,8260.742594
-32196.105143,1000,8523.041444
-39017.028153,1000,8543.778774
-5895.42287,1000,8564.852353
-33809.766515,1000,8585.223378
-35343.756379,1000,8606.821399
-787.309885,1000,8871.932103
-969.197163,1000,8893.319758
-148866.778133,1000,8914.549185
-58578.940491,1000,8935.687622
-1888.035971,1000,8956.771285
-6728.05126,1000,9217.337456
-821.255253,1000,9238.648102
-3067.146827,1000,9259.514769
-21147.160567,1000,9280.446612
-24523.710553,1000,9301.245477
-30092.778568,1000,9570.37256
-53194.546818,1000,9591.295252
-27806.899252,1000,9612.788929
-13447.325007,1000,9633.670199
-91803.242121,1000,9654.710696
-93014.263717,1000,9916.152916
-5859.596587,1000,9936.5167
-24814.655583,1000,9956.617519
-14748.694767,1000,9977.276126
-116630.809261,1000,9998.566992
-1405.02086,1000,10266.090927
-8681.086227,1000,10286.910976
-33326.970301,1000,10307.359633
-57890.222015,1000,10328.52291
-994.074174,1000,10350.451171
-4193.45585,1000,10608.839928
-4379.467046,1000,10626.384885
-1639.833507,1000,10647.219433
-29471.977259,1000,10668.078594
-13704.854883,1000,10689.165464
-30840.350791,1000,10957.671116
-847.061085,1000,10978.044564
-6685.336236,1000,10999.179944
-704.60787,1000,11020.030473
-2370.879891,1000,11043.771697
-4634.173156,1000,11306.379334
-106137.415294,1000,11327.55587
-16381.873786,1000,11348.888938
-73298.491217,1000,11370.027268
-801.956219,1000,11390.729638
-12899.283348,1000,11657.838295
-9991.265426,1000,11677.785432
-951.808942,1000,11698.524472
-107785.03605,1000,11719.914906
-921.470481,1000,11740.353167
-9568.906954,1000,12006.609009
-2961.188214,1000,12027.601076
-29004.834225,1000,12048.529165
-5498.4061,1000,12069.494103
-11412.462562,1000,12091.095042
-841.392787,1000,12353.358534
-755.018851,1000,12374.250279
-851.054349,1000,12395.266845
-9001.074365,1000,12416.872491
-15923.671857,1000,12439.05474
-790.154577,1000,12706.438341
-23833.922536,1000,12726.473974
-36137.082068,1000,12747.327867
-22509.852471,1000,12768.236542
-3864.862251,1000,12789.045373
-810.553127,1000,13054.331996
-834.410654,1000,13075.707704
-34436.499564,1000,13097.362006
-2891.451475,1000,13118.138226
-849.391071,1000,13139.039848
-13852.664997,1000,13406.790449
-17355.674928,1000,13427.847457
-32251.278522,1000,13448.746821
-15206.98487,1000,13469.504279
-44389.886461,1000,13490.643987
-2646.876118,1000,13755.568631
-18772.897799,1000,13776.513669
-1001.468373,1000,13797.520695
-2442.651465,1000,13819.496455
-7786.953268,1000,13840.907718
-9671.63334,1000,14104.414598
-5551.176471,1000,14125.161938
-6393.015449,1000,14146.07754
-1631.665712,1000,14165.891155
-44366.361625,1000,14183.125485
-984.994415,1000,14450.236452
-2346.410195,1000,14471.543453
-72086.533608,1000,14492.916663
-9488.544809,1000,14514.013228
-6462.150914,1000,14534.906384
-44635.092065,1000,14800.492128
-12137.691462,1000,14821.350982
-816.092322,1000,14841.777872
-687.009753,1000,14863.865268
-13289.45552,1000,14884.582924
-663810.814282,1000,15151.877679
-20686.869013,1000,15172.853594
-5981.249285,1000,15194.210246
-5345.336331,1000,15213.915623
-20214.688087,1000,15234.49634
-29804.547205,1000,15499.617477
-2853.488023,1000,15520.547631
-74238.662818,1000,15539.323961
-50286.600516,1000,15560.270212
-17749.362049,1000,15581.199782
-24008.174094,1000,15847.602091
-48392.698246,1000,15868.399621
-14994.745574,1000,15889.493332
-347667.806076,1000,15911.233265
-767.171601,1000,15932.351133
-42807.409701,1000,16192.617077
-805.775978,1000,16213.405899
-13898.974277,1000,16234.264277
-42448.67939,1000,16255.307265
-766.877346,1000,16276.367242
-8355.774971,1000,16542.832281
-74084.668787,1000,16563.583551
-40810.865278,1000,16584.76668
-33013.489376,1000,16606.415702
-43328.751945,1000,16627.649192
-1597.566595,1000,16896.744218
-14023.009361,1000,16916.963743
-929.887026,1000,16938.186997
