                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9208,                 4.4991,                 1.3597,                  0.341,                    0.5,                0.39764,                0.28242,                 1.0687,                 3.8241,                0.99779,             0.00010003,             0.00010003,             0.00010003
                      2,                 1.5884,                 2.1212,                 1.1341,                0.38454,                 0.8531,                0.50844,                0.37285,                 1.0639,                 2.9202,                0.99333,             0.00020586,             0.00020586,             0.00020586
                      3,                 1.4212,                 1.6414,                 1.1195,                0.53541,                0.65543,                0.58313,                0.41657,                 1.0675,                  1.814,                0.98392,             0.00030264,             0.00030264,             0.00030264
                      4,                 1.4336,                 1.4156,                 1.0955,                0.51312,                0.77874,                0.69975,                0.46926,                 1.2844,                 1.7029,                  1.071,             0.00039036,             0.00039036,             0.00039036
                      5,                 1.5299,                 1.3501,                 1.1023,                0.34788,                0.54007,                0.42322,                0.30336,                 1.0237,                 4.8984,                0.98832,             0.00046903,             0.00046903,             0.00046903
                      6,                 1.4839,                 1.1178,                 1.1375,                0.48344,                  0.922,                0.62321,                0.44995,                 1.0018,                 2.3717,                0.99807,             0.00053865,             0.00053865,             0.00053865
                      7,                  1.432,                 1.0616,                 1.0978,                0.60935,                0.90315,                0.62995,                0.43671,                 1.0132,                 1.9213,                0.99778,             0.00059921,             0.00059921,             0.00059921
                      8,                 1.4542,                 1.0603,                 1.1063,                0.96501,                0.86476,                0.97483,                0.67335,                 1.1437,                0.88021,                 1.0069,             0.00065072,             0.00065072,             0.00065072
                      9,                  1.351,                0.91909,                 1.0749,                0.95683,                0.87984,                  0.995,                0.70666,                 1.0878,                0.80253,                 1.0154,             0.00069317,             0.00069317,             0.00069317
                     10,                 1.3476,                0.83264,                 1.0341,                0.87367,                0.94577,                0.97633,                0.68669,                 1.0555,                0.74128,                0.98728,             0.00072657,             0.00072657,             0.00072657
                     11,                  1.397,                0.79611,                 1.0691,                0.93539,                      1,                  0.995,                0.73513,                0.97842,                 0.6308,                0.96945,             0.00075091,             0.00075091,             0.00075091
                     12,                  1.396,                0.77259,                 1.0953,                0.91767,                0.99019,                  0.995,                 0.7315,                0.95782,                0.61057,                0.93752,              0.0007662,              0.0007662,              0.0007662
                     13,                 1.3363,                0.70072,                 1.1002,                0.90185,                0.98619,                  0.995,                0.72429,                   1.04,                0.64678,                0.96668,             0.00074994,             0.00074994,             0.00074994
                     14,                 1.3552,                0.74123,                 1.0709,                0.96528,                 0.9582,                  0.995,                0.71536,                 1.0241,                0.59885,                0.96393,             0.00069335,             0.00069335,             0.00069335
                     15,                 1.3852,                0.75712,                 1.0641,                0.41036,                0.78853,                 0.4201,                0.32569,                0.92295,                 3.4762,                0.93991,             0.00063676,             0.00063676,             0.00063676
                     16,                 1.3059,                0.73853,                 1.1296,                0.67424,                0.96519,                0.67482,                 0.5044,                0.93754,                 17.331,                0.94576,             0.00058017,             0.00058017,             0.00058017
                     17,                 1.3196,                0.68448,                 1.1121,                 0.6736,                0.97001,                0.67894,                 0.5048,                 1.0351,                  8.809,                0.97778,             0.00052359,             0.00052359,             0.00052359
                     18,                 1.2932,                0.65241,                 1.1461,                0.61767,                      1,                 0.6879,                0.50061,                 1.0513,                 4.1523,                0.98674,               0.000467,               0.000467,               0.000467
                     19,                 1.2575,                0.62746,                  1.104,                0.76151,                0.94491,                 0.9126,                0.69807,                0.95496,                 0.9504,                0.95221,             0.00041041,             0.00041041,             0.00041041
                     20,                 1.2306,                0.60955,                 1.1077,                0.99154,                0.97367,                  0.995,                0.76584,                 0.9341,                 0.5031,                 0.9432,             0.00035382,             0.00035382,             0.00035382
                     21,                 1.2423,                0.61679,                 1.1039,                0.98758,                0.99691,                  0.995,                0.74916,                0.98113,                0.52417,                0.96279,             0.00029723,             0.00029723,             0.00029723
                     22,                 1.2573,                0.59737,                 1.1118,                0.97445,                0.99255,                  0.995,                0.75196,                0.98272,                0.51124,                0.96281,             0.00024064,             0.00024064,             0.00024064
                     23,                 1.1884,                0.55416,                 1.0785,                0.98138,                0.99761,                  0.995,                0.75611,                0.96802,                0.51297,                0.95419,             0.00018406,             0.00018406,             0.00018406
                     24,                 1.2354,                0.56166,                  1.115,                0.98686,                0.99711,                  0.995,                0.75624,                0.97328,                0.50602,                0.95426,             0.00012747,             0.00012747,             0.00012747
                     25,                   1.24,                0.57306,                 1.0827,                0.98669,                0.99956,                  0.995,                0.74858,                0.98056,                 0.4931,                0.95458,             7.0878e-05,             7.0878e-05,             7.0878e-05
