                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3275,                 5.0404,                 1.6167,                0.41921,                0.49072,                0.34943,                 0.2115,                 1.4457,                 3.4784,                 1.1402,             0.00010003,             0.00010003,             0.00010003
                      2,                 1.8181,                 2.3348,                 1.2276,                  0.388,                0.58333,                0.41987,                0.28259,                  1.099,                 2.9071,                0.99574,             0.00020586,             0.00020586,             0.00020586
                      3,                 1.6851,                 1.9149,                 1.2262,                  0.382,                0.95833,                0.48061,                 0.3328,                 1.1133,                 2.8529,                 1.0031,             0.00030264,             0.00030264,             0.00030264
                      4,                 1.6052,                 1.6306,                 1.1714,                0.44124,                0.83333,                0.53128,                 0.3608,                 1.1443,                 3.5362,                0.99671,             0.00039036,             0.00039036,             0.00039036
                      5,                  1.535,                  1.539,                 1.1105,                0.45885,                   0.75,                0.50062,                0.35218,                 1.1758,                 3.6731,                  1.015,             0.00046903,             0.00046903,             0.00046903
                      6,                 1.5721,                 1.4299,                 1.1923,                 0.3996,                0.74485,                0.60013,                0.39263,                 1.2941,                 2.1417,                  1.064,             0.00053865,             0.00053865,             0.00053865
                      7,                 1.5675,                 1.3378,                 1.1671,                0.65043,                0.90251,                 0.7688,                0.51771,                 1.1452,                 1.3248,                 1.0186,             0.00059921,             0.00059921,             0.00059921
                      8,                 1.4857,                 1.2602,                 1.1158,                0.70056,                0.83333,                0.72041,                0.49059,                 1.1284,                    1.5,                 1.0193,             0.00065072,             0.00065072,             0.00065072
                      9,                  1.496,                 1.2129,                 1.1322,                0.61374,                0.91667,                0.85862,                0.57772,                 1.1978,                  1.235,                 1.0474,             0.00069317,             0.00069317,             0.00069317
                     10,                  1.406,                 1.0781,                 1.0771,                0.65456,                0.83711,                0.80194,                0.55978,                 1.1395,                 1.2751,                 1.0093,             0.00072657,             0.00072657,             0.00072657
                     11,                 1.4467,                 1.0745,                 1.0904,                0.68577,                0.74615,                0.76117,                0.51767,                 1.2466,                 1.1995,                 1.0449,             0.00075091,             0.00075091,             0.00075091
                     12,                  1.461,                0.99345,                  1.144,                0.71833,                0.81027,                0.82903,                0.58541,                 1.1359,                 1.1983,                 1.0087,              0.0007662,              0.0007662,              0.0007662
                     13,                  1.428,                0.95701,                 1.1173,                0.77648,                  0.875,                0.90131,                0.61039,                 1.1814,                0.90314,                 1.0108,             0.00074994,             0.00074994,             0.00074994
                     14,                 1.3867,                0.99473,                 1.1046,                   0.82,                0.89334,                0.93027,                0.61824,                 1.1463,                0.89055,                 1.0178,             0.00069335,             0.00069335,             0.00069335
                     15,                  1.388,                0.90651,                 1.0762,                0.71684,                0.94006,                0.90097,                  0.613,                 1.1564,                0.90996,                 1.0196,             0.00063676,             0.00063676,             0.00063676
                     16,                 1.3767,                0.92155,                 1.1613,                0.71735,                0.91667,                0.87692,                0.59951,                 1.2022,                0.96909,                 1.0397,             0.00058017,             0.00058017,             0.00058017
                     17,                    1.4,                0.98867,                 1.1568,                0.90327,                0.69282,                0.88314,                0.61487,                   1.19,                0.96296,                 1.0371,             0.00052359,             0.00052359,             0.00052359
                     18,                 1.3803,                0.85854,                   1.19,                0.83079,                0.90449,                0.92143,                0.61523,                  1.192,                0.83658,                 1.0361,               0.000467,               0.000467,               0.000467
                     19,                 1.3427,                0.82625,                 1.1549,                0.81577,                  0.983,                0.95833,                0.66944,                 1.1281,                0.80255,                 1.0087,             0.00041041,             0.00041041,             0.00041041
                     20,                 1.3086,                0.75214,                 1.1498,                0.94075,                0.94313,                0.96759,                0.67461,                  1.137,                0.71559,                 1.0169,             0.00035382,             0.00035382,             0.00035382
                     21,                 1.2649,                0.77477,                 1.1188,                0.85682,                0.94755,                0.96278,                0.68164,                 1.1139,                0.71745,                 1.0093,             0.00029723,             0.00029723,             0.00029723
                     22,                 1.2977,                0.71229,                 1.1427,                0.86255,                0.93065,                0.96288,                0.67126,                 1.1091,                0.68636,                 1.0007,             0.00024064,             0.00024064,             0.00024064
                     23,                 1.3033,                0.71332,                 1.1131,                0.93872,                0.97584,                0.98574,                0.69131,                 1.0681,                0.63641,                0.99626,             0.00018406,             0.00018406,             0.00018406
                     24,                  1.242,                0.68581,                 1.1155,                0.94796,                0.96504,                0.97204,                0.67849,                 1.0751,                0.64089,                0.99146,             0.00012747,             0.00012747,             0.00012747
                     25,                 1.2831,                0.66857,                 1.1088,                0.91591,                0.97282,                0.97204,                0.68968,                 1.0622,                 0.6333,                0.98552,             7.0878e-05,             7.0878e-05,             7.0878e-05
