#{"t_start": 1737249588.6718976, "env_id": "None"}
r,l,t
-150.966211,1000,52.376014
-122.238267,1000,111.654895
-329.390167,1000,162.821272
-271.383066,1000,208.074753
-559.619787,1000,312.469548
-278.868852,1000,361.288422
-624.146622,1000,409.962883
-247.876024,1000,456.3235
-466.701906,1000,503.669442
-161.032644,1000,555.677632
--297.560138,1000,847.560506
-433.629588,1000,893.495495
-555.906836,1000,940.889802
-259.536742,1000,987.152828
-275.589657,1000,1036.886498
-387.17626,1000,1083.682464
-176.014862,1000,1132.08064
-339.034939,1000,1179.090149
-320.646601,1000,1227.412725
-183.05735,1000,1273.353449
--273.149251,1000,1579.847822
-350.324759,1000,1625.127366
-247.669625,1000,1674.363036
-238.093464,1000,1721.218232
-20.960246,218,1732.696536
-233.891532,1000,1781.490602
-245.650535,1000,1827.611699
-208.191676,1000,1877.302483
-203.237783,1000,1923.064415
-138.381198,1000,1976.451213-1-200.232397,1000,2247.451352
-222.066393,1000,2297.281971
-203.282411,1000,2344.397296
-129.639006,1000,2427.313007
-196.9505,1000,2474.904816
-218.616892,1000,2527.852286
-333.822041,1000,2573.650722
-235.353266,1000,2622.423629
-192.554464,1000,2669.019855
-265.926636,1000,2717.8547-20-231.731048,1000,3017.495893
-189.920097,1000,3068.086827
-250.525232,1000,3115.776937
-436.274852,1000,3164.30469
-452.310661,1000,3210.587577
-136.051437,976,3258.496817
-325.390825,1000,3304.241919
-507.661358,1000,3351.221401
-243.225937,1000,3400.079383
-321.429493,1000,3449.8162-138-296.726323,1000,3752.043118
-428.695829,1000,3798.332682
-323.334033,1000,3846.505235
-360.011647,1000,3910.453762
-307.668788,1000,3979.954856
-222.099499,1000,4027.311268
-347.757893,1000,4074.878374
-373.102686,1000,4121.756261
-184.872507,1000,4170.484246
-229.692235,1000,4217.1-241.96-263.3823,1000,4512.662415
-112.150637,1000,4563.223811
-427.122019,1000,4611.779101
-134.563677,1000,4658.679131
-152.122123,1000,4707.139147
-144.640213,1000,4757.017082
-211.146415,1000,4808.716771
-23.84468,291,4824.981784
-227.8049,1000,4936.034391
-151.447249,1000,4993.195327-172.311552,1000,5196.370885
-2-260.766328,1000,5316.942295
-127.158408,1000,5367.379946
-380.199021,1000,5416.777096
-291.561427,1000,5462.875412
-111.701468,1000,5513.940165
-179.178365,1000,5560.694338
-431.536861,1000,5610.022631
-471.479437,1000,5656.436749
-429.152841,1000,5704.26-143.674774,1000,5926.282847
-162.7-474.394207,1000,6051.354234
-210.920811,1000,6101.252553
-294.685828,1000,6151.325092
-192.843751,1000,6199.282303
-323.092487,1000,6246.963424
-146.71486,1000,6294.83462
-222.265273,1000,6343.922895
-227.663676,1000,6389.873443
-260.748637,1000,6439-241.208782,1000,6657.696131
-257.98-153.664279,1000,6773.149896
-199.630169,1000,6820.473601
-136.3476,1000,6871.376294
-334.580089,1000,6922.831184
-212.785045,1000,6970.510945
-137.999068,1000,7017.673828
-255.988491,1000,7066.059948
-124.591341,1000,7113.381426
-118.814753,1000,7169-271.305577,1000,7397.331603
-212.87-193.354205,1000,7454.690615
-172.234169,1000,7501.845719
-399.43155,1000,7549.916292
-289.406819,1000,7597.478408
-228.234485,1000,7647.393287
-124.476086,1000,7702.809553
-142.751123,1000,7750.558707
-131.656229,1000,7798.830577
-141.35044,1000,7845.53-167.404463,1000,8115.939759
-258.8-378.690086,1000,8184.633431
-636.72798,1000,8238.342306
-202.612897,1000,8287.694051
-213.329083,1000,8334.210559
-171.76998,1000,8381.35121
-176.849808,1000,8430.257614
-171.325458,1000,8476.552821
-172.841975,1000,8526.884973
-153.957777,1000,8579.159-267.139825,1000,8846.781364
-164-141.641497,1000,8941.622031
-202.576371,1000,8991.153649
-169.288422,1000,9039.253176
-452.210504,1000,9086.574465
-166.733452,1000,9134.852327
-238.66074,1000,9182.555429
-293.548226,1000,9231.136957
-141.790811,1000,9281.762628
-153.848512,1000,9330.14-235.904522,1000,9569.101214
-1282-178.112989,1000,9683.818907
-172.673616,1000,9732.129606
-297.401549,1000,9780.033099
-180.935743,1000,9829.033247
-143.661689,1000,9878.457954
-145.80464,1000,9928.642341
-140.579132,1000,9977.954895
-162.745689,1000,10026.555931
-108.074001,1000,10077.45752
-122.058958,1000,10-142.78761,1-154.024424,1000,10429.721547
-139.958977,1000,10480.938917
-107.279114,1000,10529.650215
-257.373224,1000,10577.678401
-127.173448,1000,10625.96454
-107.205491,1000,10676.83644
-446.339579,1000,10723.259151
-3.806185,61,10727.194191
-179.025116,1000,10779.655736
-106.462316,1000,10827.022691
-205.10363,1000,10876-131.2493-147.596427,1000,11188.797682
-146.596807,1000,11249.400383
-97.04701,1000,11302.851425
-2.770685,38,11305.605941
-123.560669,1000,11354.569552
-96.826361,1000,11408.684757
-534.541656,1000,11454.309056
-184.352733,1000,11502.079622
-175.29136,1000,11551.758673-2-148.717839,1000,11602.04077-152.303744,1000,12001.922531
-1-262.238948,1000,11946.66790-27-125.538594,1000,12004.91044-14-26.760128,332,12023.896991-1-334.255049,1000,12070.058985-2-166.472884,1000,12117.283305-1-150.837302,1000,12164.559402-1-138.45715,1000,12215.836533-2-132.500513,1000,12263.221627-238.269145,1000,12439.573944
-269.817138,1000,12726.275265
-370.323039,1000,12775.101149
-127.004146,1000,12724.07563
-133.456595,1000,12772.101948
-116.322674,1000,12872.294715
-3.490593,47,12875.377926
-229.335373,1000,12923.43316
-138.033425,1000,12971.263233
-140.832508,1000,13020.949203
-160.846307,1000,13071.673023
-262.5-175.415685,1000,13467.551123
-167.051272,1000,13513.429187
-120.808236,1000,13560.72-1.869946,39,13487.298409
-120.756263,1000,13538.306739
-216.457119,1000,13587.705157
-146.221616,1000,13641.308689
-193.816435,1000,13690.165307
-152.3586,1000,13740.959067
-210.428592,1000,13787.279147
-493.077447-216.257686,1000,14196.67118
-320.846984,1000,14243.641256
